code	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Moloney et al, 2019_152	DEN	1	21.02678571	5.892857143	0	NA	NA	0	NA	NA	1	24.10714286	9.776785714	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_153	DEN	1	20.625	5.758928571	0	NA	NA	0	NA	NA	1	23.03571429	9.375	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Nilsson et al., 2002_115	SP	9	6.847222222	0.654470139	0	NA	NA	0	NA	NA	0	NA	NA	9	6.811507321	0.630636413	0	NA	NA	0	NA	NA	65.5	19	1	2	NA	NA	tem	NA	NA	NA	NA	5	NA	NA	NA	NA
Olsen & Klanderub, 2014_92	SP	4	17	1.395229969	0	NA	NA	4	19.05	0.854400375	0	NA	NA	4	17.25	1.821171784	0	NA	NA	4	20.8	1.557776193	60.6	7.52	1	3	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_92	DEN	4	34.05555556	1.687371394	0	NA	NA	4	29.70138362	2.522279113	0	NA	NA	4	36.09721975	3.71471786	0	NA	NA	4	29.82539683	3.153835111	60.6	7.52	1	3	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_93	DEN	4	32.15972183	2.069196133	0	NA	NA	4	33.39511484	2.269409803	0	NA	NA	4	37.29861147	3.624360805	0	NA	NA	4	31.4610109	3.782020959	60.6	7.52	2	3	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_93	SP	4	18.1	1.194431524	0	NA	NA	4	16.6	1.232882801	0	NA	NA	4	17.45	1.340397951	0	NA	NA	4	18.1	1.351542329	60.6	7.52	2	3	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Parra & Moreno, 2018_119	COV	4	51.53225806	5.468629991	4	51.85483871	8.441074239	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	H	1	1.951219512	0.085365854	1	2.298780488	0.097560976	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	Ratio_S	4	34.91935484	10.05308059	4	51.57457027	17.02179855	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	SP	1	27.9338843	2.809917355	1	33.05785124	1.983471074	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	COV	4	51.53225806	5.468629991	4	52.41935484	9.555232217	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	H	1	1.951219512	0.085365854	1	2.329268293	0.109756098	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	Ratio_S	4	34.91935484	10.05308059	4	52.26086957	19.497916	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	SP	1	27.9338843	2.809917355	1	35.37190083	1.487603306	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	SP	1	27.9338843	2.809917355	0	NA	NA	0	NA	NA	1	29.83471074	3.305785124	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	Ratio_S	4	38.62903226	9.208509803	0	NA	NA	0	NA	NA	4	34.91935484	10.05308059	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	COV	4	51.53225806	5.468629991	0	NA	NA	0	NA	NA	4	58.46774194	5.424049106	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	H	1	1.951219512	0.085365854	0	NA	NA	0	NA	NA	1	2.109756098	0.182926829	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Penuelas et al., 2007_1	SP	6	7.408536586	0.520190214	6	6.030487805	0.497749247	6	7.195121951	0.363406449	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	2	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_3	SP	5	8.692	1.115535746	5	9.346	0.776324674	5	9.45	1.053185644	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_5	SP	5	9.584	1.718001746	5	9.664	1.780176957	5	9.834	1.273177128	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_6	SP	3	0.54	0.18734994	3	0.506666667	0.155026879	3	0.583333333	0.096090235	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_9	SP	8	7.6675	1.31790689	8	6.0425	0.364995108	8	7.95625	1.025195974	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_1	ANPP	1	276.9650285		1	240.5323377		1	339.3921434		0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	2	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_6	ANPP	1	136.3145949		1	119.4717337		1	148.6872898		0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Picchioni et al 2012_137	AGB	1	334.7	NA	0	NA	NA	0	NA	NA	1	440.6	NA	0	NA	NA	0	NA	NA	0	NA	NA	32.27	-106.9	1	1	NA	197	med & Des	NA	NA	NA	159	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31	DEN	5	41.27868853	16.25779948	0	NA	NA	5	44.42622951	25.33622336	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	2	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31	Ratio_S	5	111.4356935	17.05423913	0	NA	NA	5	113.3616427	18.69372527	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	2	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31_1	DEN	5	39.70491803	16.0933183	0	NA	NA	5	41.67213115	18.74538374	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	2	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31_1	Ratio_S	5	98.4	10.89954127	0	NA	NA	5	109.4	7.956129712	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	2	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Press et al., 1998_29	DEN	1	1902.040816	NA	0	NA	NA	0	NA	NA	1	1983.673469	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	DEN	1	1853.061224	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	2155.102041	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	Ratio_S	1	70.58103143	NA	0	NA	NA	1	76.02368653	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	Ratio_S	1	73.71948906	NA	0	NA	NA	0	NA	NA	1	73.05243192	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	Ratio_S	1	68.53787585	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	78.37909537	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB	1	734.9	NA	0	NA	NA	1	793.7	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB	1	790.7	NA	0	NA	NA	0	NA	NA	1	738.1	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB	1	774.9	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	753.9	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	DEN	1	1771.428571	NA	0	NA	NA	1	2106.122449	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB_S	1	518.7	14.31083506	0	NA	NA	1	603.4	11.40394669	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB_S	1	582.9	12.03004572	0	NA	NA	0	NA	NA	1	539.2	15.02637681	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	AGB_S	1	531.1	12.43253795	0	NA	NA	0	NA	NA	0	NA	NA	1	590.9	14.31083506	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Prieto et al., 2009a_132	AGB	8	615.3846154	135.5834541	8	562.3626374	108.6424462	8	642.032967	144.1359859	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Prieto et al., 2009b_161	SP	8	7.662116041	1.322875498	8	6.01109215	0.361165923	8	7.939419795	1.040565904	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_1	AGB	12	1701.205	216.2535531	12	1786.261667	193.0817636	12	1712.6825	192.3725525	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	3	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_1	ANPP	14	75.73285714	27.25686743	14	67.57285714	21.37700397	14	74.87142857	26.36010005	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	3	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_2	ANPP	6	177.6766667	85.45975606	6	177.5466667	97.52362968	6	183.08	79.67422243	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_2	AGB	8	457.80125	104.6925801	8	429.76375	90.03644087	8	468.81	102.2317457	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_3	AGB	11	402.3790909	204.2341404	11	262.0527273	115.1983716	11	348.21	143.001338	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	3	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_3	ANPP	6	135.085	68.99819208	6	60.26333333	36.15948764	6	122.545	78.33051174	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	3	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_4	AGB	12	435.8541667	113.6671794	12	368.11	92.47564053	12	490.705	153.9930658	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	3	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_4	ANPP	7	137.5942857	64.37880703	7	61.40142857	40.17574369	7	123.0885714	84.84653979	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	3	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_5	AGB	10	132.689	8.179883794	10	123.066	19.44492633	10	184.387	32.09108878	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	3	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_5	ANPP	12	31.03083333	4.596821942	12	29.39666667	4.191145067	12	33.54083333	5.078626261	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	3	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_6	ANPP	5	53.184	18.20688551	5	29.83	14.61962893	5	52.316	16.74154503	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_6	AGB	5	264	16	5	207	14	5	240	14	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_9	AGB	9	324.5177778	81.60312031	9	298.6588889	71.85818837	9	343.8388889	93.83543819	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_9	ANPP	8	73.6925	21.92037522	8	67.00625	32.8131402	8	79.1825	41.55745928	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Richardson et al., 2002_28	Ratio_S	2	87.055	6.003336572	0	NA	NA	2	90.91	4.822468248	0	NA	NA	2	73.08	22.92440185	0	NA	NA	2	63.785	38.4878221	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Richardson et al., 2002_28	AGB	2	730.4347826	98.38007392	0	NA	NA	2	891.3043479	288.9914672	0	NA	NA	2	773.9130435	110.6775831	0	NA	NA	2	834.7826087	172.1651293	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Richardson et al., 2002_28	AGB_S	2	631.25	44.19417382	0	NA	NA	2	818.75	309.3592168	0	NA	NA	2	556.25	97.22718241	0	NA	NA	2	500	212.1320344	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Rinnan et al 2009_72	Ratio_S	2	57.26	10.0833427	0	NA	NA	2	64.48	8.541849917	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	1	3	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_72	COV	2	124.978048	14.118255	0	NA	NA	2	134.2646066	13.22869982	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	1	3	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_73	COV	2	132.1242824	24.72843878	0	NA	NA	2	120.9937521	17.52722125	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	2	3	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_73	Ratio_S	2	54.58	5.091168825	0	NA	NA	2	56.44	5.374011537	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	2	3	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
She et al 2016_61	COV	1	0.644320298	0.193668529	0	NA	NA	0	NA	NA	1	0.817504655	0.152700186	1	0.756052142	0.122905028	1	0.729981378	0.156424581	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2016_61_1	COV	1	0.644320298	0.193668529	0	NA	NA	0	NA	NA	1	0.707635009	0.186219739	0	NA	NA	0	NA	NA	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2016_61_2	COV	1	0.644320298	0.193668529	0	NA	NA	0	NA	NA	1	NA	NA	0	NA	NA	1	0.672253259	0.189944134	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2020_61	Ratio_S	3	50.89552239	7.45335237	0	NA	NA	0	NA	NA	3	40.2238806	6.740008325	3	40.52238806	8.364869415	3	38.80597015	8.478938828	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2020_61_1	Ratio_S	3	50.89552239	7.45335237	0	NA	NA	0	NA	NA	3	37.8358209	6.184131634	0	NA	NA	0	NA	NA	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2020_61_2	Ratio_S	3	50.89552239	7.45335237	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	3	33.88059701	6.981102968	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2021_63	ANPP	5	138.76	58.93715297	0	NA	NA	0	NA	NA	5	209.9	56.56668631	5	212.78	32.75960928	5	262.52	49.7265221	0	NA	NA	37.07	106.5	1	2	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2021_63	Ratio_S	5	73.24	13.40757249	0	NA	NA	0	NA	NA	5	67.84	8.341642524	5	61.88	22.14705398	5	60.72	21.35326673	0	NA	NA	37.07	106.5	1	2	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2021_63_1	Ratio_S	5	73.24	13.40757249	0	NA	NA	0	NA	NA	5	73.48	7.903606772	0	NA	NA	5	49.58	19.19145643	0	NA	NA	37.07	106.5	1	2	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2021_63_1	ANPP	5	138.76	58.93715297	0	NA	NA	0	NA	NA	5	299.4	46.9691388	0	NA	NA	5	257.06	34.38099766	0	NA	NA	37.07	106.5	1	2	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
Shi et al., 2021_125	AGB	1	34.14	7.891311678	0	NA	NA	1	40.16	21.94859449	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	1	3	-1.7	561	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Shi et al., 2021_125	SP	1	16.5	1.58391919	0	NA	NA	1	12.16	2.658721497	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	1	3	-1.7	561	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Sistla et al 2013; Demarco et al 2014_43	AGB	1	474.9	65.2	0	NA	NA	1	748.7	151.8	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.63	-149.57	1	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
Smith et al., 2007_66	COV	1	10.29929577	1.795774648	0	NA	NA	0	NA	NA	1	13.30985915	1.161971831	1	9.401408451	1.478873239	1	15.79225352	4.014084507	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	1	NA	NA	NA	50
Smith et al., 2007_66_1	COV	1	10.29929577	1.795774648	0	NA	NA	0	NA	NA	0	NA	NA	1	10.45774648	1.690140845	1	14.47183099	2.64084507	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	4	NA	NA	NA	200
Smith et al., 2007_67	COV	1	9.084507042	3.485915493	0	NA	NA	0	NA	NA	1	12.04225352	2.323943662	1	8.873239437	1.161971831	1	12.14788732	3.485915493	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	1	NA	NA	NA	50
Smith et al., 2007_67_1	COV	1	9.084507042	3.485915493	0	NA	NA	0	NA	NA	0	NA	NA	1	9.718309859	2.323943662	1	13.41549296	2.535211268	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	4	NA	NA	NA	200
Souza et al., 2016_118	ANPP	5	632.0292414	239.584757	0	NA	NA	0	NA	NA	0	NA	NA	5	574.406	203.8352687	0	NA	NA	0	NA	NA	35.97	-84.28	2	2	NA	1322	tem	NA	NA	NA	NA	10	NA	NA	NA	NA
Souza et al., 2016_118	SP	10	8.312773555	6.976383876	0	NA	NA	0	NA	NA	0	NA	NA	10	7.258470561	5.987390402	0	NA	NA	0	NA	NA	35.97	-84.28	2	2	NA	1322	tem	NA	NA	NA	NA	10	NA	NA	NA	NA
Sowerby et al., 2010_133	ANPP	4	0.965	0.758617163	4	0.96	0.703893931	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	2	8.2	1263	tem	0.2	NA	-327.554	NA	NA	NA	NA	NA	NA
Sundqvist et al-. 2014_102	DEN	1	192.3664122	61.06870229	0	NA	NA	0	NA	NA	0	NA	NA	1	259.5419847	42.7480916	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_102	H	1	1.553571429	0.178571429	0	NA	NA	0	NA	NA	0	NA	NA	1	1.428571429	0.25	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_102	SP	1	10	3.692307692	0	NA	NA	0	NA	NA	0	NA	NA	1	9.846153846	3.692307692	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_103	H	1	1.160714286	0.285714286	0	NA	NA	0	NA	NA	0	NA	NA	1	1.267857143	0.25	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_103	DEN	1	180.1526718	48.85496183	0	NA	NA	0	NA	NA	0	NA	NA	1	161.8320611	30.53435115	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_103	SP	1	6.307692308	0.307692308	0	NA	NA	0	NA	NA	0	NA	NA	1	5.846153846	1.538461538	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_104	DEN	1	161.8320611	30.53435115	0	NA	NA	0	NA	NA	0	NA	NA	1	189.3129771	24.42748092	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_104	H	1	1.375	0.357142857	0	NA	NA	0	NA	NA	0	NA	NA	1	1.375	0.25	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Sundqvist et al-. 2014_104	SP	1	8.769230769	2.769230769	0	NA	NA	0	NA	NA	0	NA	NA	1	8.307692308	2.153846154	0	NA	NA	0	NA	NA	68.35	18.82	1	1	NA	310	Alp	NA	NA	NA	NA	10	NA	NA	NA	NA
Svensson et al 2018_74	DEN	7	146.7228571	29.65199977	0	NA	NA	7	158.0785714	26.07214953	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	19.67	1	2	-0.5	304	Arc	5	NA	NA	NA	NA	NA	NA	NA	NA
Svensson et al 2018_74	Ratio_S	7	78.59857143	2.650486927	0	NA	NA	7	79.74	4.204521376	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	19.67	1	2	-0.5	304	Arc	5	NA	NA	NA	NA	NA	NA	NA	NA
Swanson et al., 2021_85	DEN	1	22.49761829	NA	1	18.71387742	NA	0	NA	NA	1	19.98412194	NA	0	NA	NA	0	NA	NA	0	NA	NA	43.46	-119.69	1	1	NA	NA	tem	NA	NA	-72	68.3	NA	NA	NA	NA	NA
Swanson et al., 2021_86	DEN	1	24.41886313	NA	1	9.253731343	NA	0	NA	NA	1	19.20133376	NA	0	NA	NA	0	NA	NA	0	NA	NA	43.46	-119.71	1	1	NA	NA	tem	NA	NA	-72	68.3	NA	NA	NA	NA	NA
Swanson et al., 2021_87	DEN	1	9.97459511	NA	1	4.276754525	NA	0	NA	NA	1	8.872657987	NA	0	NA	NA	0	NA	NA	0	NA	NA	43.46	-119.69	1	1	NA	NA	tem	NA	NA	-72	68.3	NA	NA	NA	NA	NA
Swanson et al., 2021_88	DEN	1	5.704191807	NA	1	4.70228644	NA	0	NA	NA	1	6.991902191	NA	0	NA	NA	0	NA	NA	0	NA	NA	43.46	-119.71	1	1	NA	NA	tem	NA	NA	-72	68.3	NA	NA	NA	NA	NA
Tielborger et al., 2014_12	SP	10	6.482516	2.292879474	10	8.55943	2.986118304	0	NA	NA	10	8.104895104	2.509527273	0	NA	NA	0	NA	NA	0	NA	NA	30.87	34.77	1	2	NA	90	Med & Des	NA	NA	-23.53	23.53	NA	NA	NA	NA	NA
